Symbol	Description
AACG	Ata Creativity Global
AACQU	Artius Acquisition Inc Unit
AAL	American Airlines Gp
AAME	Atlantic Amer Cp
AAOI	Applied Optoelect
AAON	Aaon Inc
AAPL	Apple Inc
AAWW	Atlas Air Ww
AAXJ	All Country Asia Ex Japan Ishares MSCI ETF
AAXN	Axon Inc
ABCB	Ameris Bancorp
ABEO	Abeona Therapeutics
ABIO	Arca Biopharma Inc
ABMD	Abiomed Inc
ABTX	Allegiance Banc CS
ABUS	Arbutus Biopharma Cp
ACAD	Acadia Pharmaceutica
ACAM	Acamar Partners Acquisition Corp Cl A
ACAMU	Acamar Partners Acquisition Corp Units
ACAMW	Acamar Partners Acquisition Corp WT
ACBI	Atlantic Capital
ACCD	Accolade Inc
ACER	Acer Therapeutics Inc
ACEVU	Ace Convergence Acquisition Corp
ACGL	Arch Capital Grp Ltd
ACGLO	Arch Capital Group Ltd ADR
ACGLP	Arch Capital Group Ltd
ACHC	Acadia Healthcr Company
ACHV	Achieve Life Sciences Inc
ACIA	Acacia Communica
ACIU	AC Immune S.A.
ACIW	Aci Worldwide Inc
ACLS	Axcelis Tech Inc
ACMR	Acm Research Inc
ACNB	Acnb Corp
ACOR	Acorda Therapeutics
ACRS	Aclaris Therapts
ACRX	Acelrx Pharmaceutica
ACST	Acasti Pharma
ACT	Advisorshares Vice ETF
ACTG	Acacia Res-Acacia
ACWI	ACWI Ishares MSCI ETF
ACWX	ACWI Ex US Ishares MSCI ETF
ADAP	Adaptimmune Ther Ads
ADBE	Adobe Systems Inc
ADES	Advanced Emissions Solutions Inc
ADI	Analog Devices
ADIL	Adial Pharmaceuticals Inc
ADILW	Adial Pharmaceuticals Inc WT
ADMA	Adma Biologics
ADMP	Adamis Pharmaceuticl
ADMS	Adamas Pharma
ADP	Automatic Data Procs
ADPT	Adaptive Biotechnologies Corp
ADRE	Bldrs Emerging Markets 50 ADR Index Fund Invesco
ADRO	Aduro Biotech
ADSK	Autodesk Inc
ADTN	Adtran Inc
ADTX	Aditx Therapeutics Inc
ADUS	Addus Homecare Corp
ADVM	Adverum Biotechnlgs
ADXN	Addex Therapeutics Ltd ADR
ADXS	Advaxis Inc
AEGN	Aegion Corp
AEHR	Aehr Test Systems
AEIS	Advanced Energy
AEMD	Aethlon Medical
AERI	Aerie Pharmaceuticals
AESE	Allied Esports Entertainment Inc
AEY	Addvantage Techs Group
AEYE	Audioeye Inc
AEZS	Aeterna Zentaris
AFH	Atlas Financial Hlds
AFIN	American Finance Trust Inc Cl A
AFINP	American Finance Trust Inc Pfd Ser A
AFMD	Affimed N.V.
AFYA	Afya Ltd Cl A
AGBA	Agba Acquisition Ltd
AGBAR	Agba Acquisition Ltd Right
AGBAU	Agba Acquisition Limited
AGBAW	Agba Acquisition Ltd WT
AGEN	Agenus Inc
AGFS	Agrofresh Solutions
AGFSW	Agrofresh Sol Wrrnts
AGIO	Agios Pharmaceuticals
AGLE	Aeglea Biothera
AGMH	Agm Group Holdings Inc Cl A
AGNC	American Capital Age
AGNCM	Agnc Investment Corp Cum Red Pfd Ser D Fixed To
AGNCN	Agnc Investment Corp
